Roll_Code,Math,English,Science,Total,Year
2021_B10075,4,88,44,136,2021
2021_C10076,81,38,78,197,2021
2022_B10077,83,95,79,257,2022
2019_C10078,30,41,24,95,2019
2019_A10079,3,92,50,145,2019
2019_C10080,71,66,58,195,2019
2021_C10081,92,76,51,219,2021
2021_C10082,30,77,37,144,2021
2021_C10083,3,84,62,149,2021
2019_C10084,69,61,40,170,2019
2022_C10085,0,65,58,123,2022
2019_B10086,35,72,81,188,2019
2021_B10087,77,81,34,192,2021
2019_C10088,4,57,77,138,2019
2021_B10089,25,41,36,102,2021
2019_C10090,10,18,53,81,2019
2022_C10091,52,30,89,171,2022
2022_C10092,85,27,49,161,2022
2022_C10093,28,88,35,151,2022
2021_A10094,73,78,92,243,2021
2019_B10095,24,88,76,188,2019
2019_C10096,0,74,76,150,2019
2021_C10097,91,44,46,181,2021
2021_C10098,80,90,63,233,2021
2021_B10099,75,14,55,144,2021
2019_A10100,80,43,75,198,2019
2019_A10101,72,93,70,235,2019
2021_A10102,16,52,29,97,2021
2021_A10103,98,66,69,233,2021
2021_C10104,19,34,41,94,2021
2021_B10105,31,80,44,155,2021
2019_C10106,35,45,60,140,2019
2019_C10107,23,68,34,125,2019
2021_A10108,63,63,71,197,2021
2021_C10109,80,76,28,184,2021
2022_A10110,65,60,62,187,2022
2019_C10111,10,77,50,137,2019
2021_C10112,35,38,42,115,2021
2022_C10113,52,96,89,237,2022
2021_B10114,79,23,21,123,2021
2021_B10115,11,12,50,73,2021
2021_B10116,63,25,32,120,2021
2021_C10117,32,87,58,177,2021
2021_C10118,40,42,22,104,2021
2019_A10119,69,61,34,164,2019
2021_A10120,84,25,40,149,2021
2022_B10121,53,91,75,219,2022
2022_C10122,80,53,38,171,2022
2022_A10123,7,87,39,133,2022
2022_A10124,17,60,84,161,2022
2021_B10125,65,11,54,130,2021
2019_B10126,78,45,56,179,2019
2022_A10127,72,34,71,177,2022
2021_A10128,62,54,32,148,2021
2022_C10129,94,20,68,182,2022
2022_A10130,30,79,31,140,2022
2022_B10131,48,25,39,112,2022
2022_B10132,76,14,97,187,2022
2019_C10133,87,57,92,236,2019
2019_C10134,54,70,73,197,2019
2019_C10135,20,40,85,145,2019
2019_A10136,53,83,52,188,2019
2019_A10137,12,80,41,133,2019
2021_C10138,39,12,48,99,2021
2019_C10139,30,91,93,214,2019
2022_C10140,85,11,72,168,2022
2019_C10141,6,16,68,90,2019
2021_B10142,72,52,86,210,2021
2019_A10143,11,50,78,139,2019
2022_A10144,77,66,65,208,2022
2021_A10145,22,88,25,135,2021
2022_A10146,1,21,66,88,2022
2022_B10147,40,85,79,204,2022
2021_B10148,54,23,79,156,2021
2021_B10149,59,44,53,156,2021
2019_B10150,56,65,99,220,2019
2022_C10151,29,33,36,98,2022
2019_A10152,38,25,72,135,2019
2021_B10153,100,28,73,201,2021
2021_B10154,38,73,66,177,2021
2019_A10155,73,34,56,163,2019
2019_B10156,17,26,56,99,2019
2019_C10157,11,19,72,102,2019
2022_C10158,18,91,61,170,2022
2021_B10159,78,29,48,155,2021
2022_A10160,49,28,42,119,2022
2022_B10161,47,44,92,183,2022
2019_B10162,54,32,67,153,2019
2021_A10163,72,65,91,228,2021
2021_A10164,62,36,57,155,2021
2021_A10165,4,88,49,141,2021
2021_A10166,13,46,87,146,2021
2021_C10167,100,62,40,202,2021
2019_C10168,21,12,44,77,2019
2019_A10169,37,49,65,151,2019
2021_B10170,94,28,65,187,2021
2021_C10171,73,46,81,200,2021
2022_B10172,65,68,27,160,2022
2019_B10173,52,23,21,96,2019
2022_B10174,56,88,81,225,2022
2022_C10175,42,38,65,145,2022
2021_C10176,3,86,71,160,2021
2019_A10177,72,39,29,140,2019
2022_A10178,22,72,96,190,2022
2021_A10179,30,82,87,199,2021
2019_B10180,17,74,60,151,2019
2019_C10181,49,13,54,116,2019
2021_A10182,7,55,38,100,2021
2021_C10183,35,41,39,115,2021
2021_A10184,5,84,95,184,2021
2022_C10185,81,56,60,197,2022
2021_C10186,57,95,32,184,2021
2022_A10187,42,45,98,185,2022
2019_A10188,23,16,52,91,2019
2022_C10189,13,72,85,170,2022
2019_B10190,67,48,91,206,2019
2021_A10191,73,44,25,142,2021
2019_C10192,23,92,31,146,2019
2019_A10193,25,59,74,158,2019
2021_A10194,72,87,72,231,2021
2019_C10195,77,96,62,235,2019
2021_A10196,24,77,67,168,2021
2021_C10197,12,43,99,154,2021
2019_B10198,40,20,73,133,2019
2021_C10199,7,57,33,97,2021
2019_C10200,26,36,54,116,2019
2021_A10201,53,53,29,135,2021
2019_C10202,11,64,33,108,2019
2021_B10203,80,40,75,195,2021
2019_B10204,61,28,27,116,2019
2019_C10205,14,41,44,99,2019
2019_B10206,10,68,26,104,2019
2019_C10207,38,93,58,189,2019
2019_A10208,1,41,24,66,2019
2019_B10209,79,25,31,135,2019
2019_C10210,38,72,26,136,2019
2019_B10211,63,25,97,185,2019
2019_A10212,58,23,37,118,2019
2022_C10213,25,91,47,163,2022
2019_A10214,22,48,71,141,2019
2019_C10215,43,49,90,182,2019
2021_C10216,18,50,76,144,2021
2019_A10217,78,55,75,208,2019
2019_C10218,43,66,72,181,2019
2021_B10219,83,26,28,137,2021
2019_C10220,1,60,45,106,2019
2022_B10221,2,18,74,94,2022
2022_C10222,50,83,56,189,2022
2019_C10223,17,74,99,190,2019
2022_C10224,72,66,28,166,2022
2019_B10225,57,70,46,173,2019
2019_B10226,33,72,35,140,2019
2022_B10227,64,43,29,136,2022
2022_C10228,58,57,55,170,2022
2019_A10229,88,33,91,212,2019
2022_B10230,85,56,28,169,2022
2019_A10231,66,56,89,211,2019
2021_A10232,55,50,54,159,2021
2019_A10233,13,50,37,100,2019
2019_A10234,61,56,49,166,2019
2022_B10235,36,87,32,155,2022
2021_C10236,82,39,94,215,2021
2019_A10237,60,14,57,131,2019
2022_B10238,50,49,62,161,2022
2022_B10239,93,38,37,168,2022
2019_B10240,4,41,86,131,2019
2021_B10241,80,80,39,199,2021
2021_A10242,48,21,78,147,2021
2021_B10243,1,65,75,141,2021
2019_C10244,36,77,69,182,2019
2022_C10245,37,91,91,219,2022
2021_A10246,46,15,68,129,2021
2019_A10247,27,90,90,207,2019
2022_C10248,94,67,62,223,2022
2022_A10249,25,73,44,142,2022
2019_A10250,39,16,97,152,2019
2022_C10251,23,18,90,131,2022
2021_B10252,74,45,92,211,2021
2019_B10253,41,45,70,156,2019
2019_B10254,4,60,65,129,2019
2019_C10255,62,46,90,198,2019
2022_C10256,80,30,24,134,2022
2022_A10257,70,81,60,211,2022
2021_B10258,88,22,44,154,2021
2022_C10259,74,85,55,214,2022
2022_B10260,23,30,24,77,2022
2022_A10261,42,92,41,175,2022
2021_B10262,99,75,74,248,2021
2022_B10263,31,15,79,125,2022
2019_C10264,26,41,69,136,2019
2021_A10265,17,31,36,84,2021
2021_B10266,98,62,57,217,2021
2021_A10267,75,67,92,234,2021
2022_A10268,4,22,79,105,2022
2019_B10269,39,41,97,177,2019
2021_A10270,78,14,85,177,2021
2019_B10271,87,34,24,145,2019
2019_C10272,95,41,29,165,2019
2022_C10273,46,73,45,164,2022
2022_C10274,85,61,29,175,2022
2022_C10275,22,67,72,161,2022
2022_B10276,51,13,41,105,2022
2019_B10277,72,44,35,151,2019
2019_C10278,73,27,36,136,2019
2022_C10279,10,74,26,110,2022
2019_B10280,61,18,90,169,2019
2022_A10281,82,34,89,205,2022
2022_C10282,26,87,53,166,2022
2021_C10283,19,55,84,158,2021
2021_A10284,6,85,74,165,2021
2019_C10285,63,27,24,114,2019
2019_C10286,98,78,38,214,2019
2019_B10287,55,51,53,159,2019
2019_A10288,37,33,83,153,2019
2021_B10289,39,84,48,171,2021
2022_B10290,0,33,61,94,2022
2022_C10291,40,68,94,202,2022
2021_B10292,77,84,58,219,2021
2022_A10293,96,27,56,179,2022
2019_B10294,13,73,68,154,2019
2022_C10295,6,43,78,127,2022
2022_B10296,26,88,70,184,2022
2019_A10297,21,56,42,119,2019
2021_B10298,3,82,47,132,2021
2022_C10299,93,13,93,199,2022
2021_C10300,98,37,76,211,2021
2021_C10301,83,91,41,215,2021
2019_C10302,95,44,57,196,2019
2021_B10303,15,77,22,114,2021
2021_C10304,80,83,25,188,2021
2019_A10305,45,15,45,105,2019
2022_C10306,98,72,73,243,2022
2022_B10307,53,19,95,167,2022
2019_A10308,78,21,64,163,2019
2022_C10309,31,84,96,211,2022
2019_C10310,79,29,60,168,2019
2021_A10311,74,89,42,205,2021
2022_A10312,22,42,95,159,2022
2022_C10313,27,37,97,161,2022
2021_A10314,59,71,33,163,2021
2019_C10315,8,96,43,147,2019
2022_C10316,69,15,29,113,2022
2021_C10317,30,28,74,132,2021
2021_A10318,18,44,76,138,2021
2022_A10319,21,55,89,165,2022
2019_B10320,32,57,80,169,2019
2019_B10321,54,25,31,110,2019
2019_C10322,11,38,43,92,2019
2022_A10323,91,21,83,195,2022
2022_B10324,5,66,44,115,2022
2022_B10325,14,91,66,171,2022
2021_C10326,63,43,37,143,2021
2019_B10327,86,50,93,229,2019
2022_C10328,79,41,29,149,2022
2022_C10329,47,65,46,158,2022
2019_B10330,31,23,29,83,2019
2021_A10331,40,16,90,146,2021
2022_C10332,34,39,88,161,2022
2021_B10333,70,80,43,193,2021
2021_A10334,95,93,51,239,2021
2021_B10335,70,96,82,248,2021
2022_C10336,27,77,26,130,2022
2021_A10337,14,58,98,170,2021
2021_B10338,99,70,46,215,2021
2022_C10339,12,24,76,112,2022
2021_A10340,42,43,50,135,2021
2022_A10341,96,63,67,226,2022
2021_A10342,72,14,75,161,2021
2019_A10343,74,46,43,163,2019
2022_B10344,66,40,63,169,2022
2022_C10345,44,71,55,170,2022
2022_C10346,76,59,75,210,2022
2021_B10347,38,47,73,158,2021
2022_C10348,88,17,35,140,2022
2019_B10349,66,65,99,230,2019
2022_A10350,41,87,81,209,2022
2022_A10351,79,89,54,222,2022
2022_A10352,21,14,74,109,2022
2022_B10353,54,37,67,158,2022
2019_B10354,44,82,21,147,2019
2021_C10355,87,60,89,236,2021
2019_C10356,72,68,89,229,2019
2021_B10357,17,24,91,132,2021
2021_B10358,61,88,52,201,2021
2022_B10359,96,56,27,179,2022
2019_A10360,19,29,76,124,2019
2022_B10361,11,57,43,111,2022
2022_C10362,63,59,91,213,2022
2021_C10363,72,12,64,148,2021
2022_C10364,77,85,71,233,2022
2021_A10365,74,71,93,238,2021
2021_C10366,31,63,94,188,2021
2022_C10367,69,65,51,185,2022
2022_A10368,40,84,72,196,2022
2022_A10369,29,40,45,114,2022
2022_C10370,84,23,37,144,2022
2019_B10371,42,93,68,203,2019
2021_C10372,48,59,71,178,2021
2021_C10373,93,51,61,205,2021
2019_A10374,34,85,31,150,2019
2022_B10375,10,53,38,101,2022
2022_B10376,16,92,74,182,2022
2021_A10377,51,50,47,148,2021
2022_C10378,41,18,22,81,2022
2019_C10379,86,12,41,139,2019
2021_C10380,6,92,49,147,2021
2019_A10381,70,90,23,183,2019
2022_A10382,55,41,71,167,2022
2021_C10383,78,31,92,201,2021
2019_C10384,67,19,61,147,2019
2021_A10385,23,53,87,163,2021
2019_B10386,43,24,28,95,2019
2021_C10387,5,24,75,104,2021
2022_B10388,29,19,87,135,2022
2019_B10389,24,92,32,148,2019
2019_A10390,5,20,52,77,2019
2022_A10391,33,89,30,152,2022
2022_B10392,42,48,66,156,2022
2022_C10393,78,86,47,211,2022
2019_C10394,27,39,89,155,2019
2019_B10395,94,14,74,182,2019
2019_B10396,61,76,23,160,2019
2022_A10397,50,66,75,191,2022
2022_A10398,11,45,36,92,2022
2021_B10399,62,33,74,169,2021
2022_B10400,71,94,51,216,2022
2021_A10401,70,66,26,162,2021
2019_C10402,70,12,51,133,2019
2021_A10403,31,12,45,88,2021
2021_C10404,40,62,74,176,2021
2019_C10405,7,40,54,101,2019
2019_C10406,2,66,34,102,2019
2021_A10407,46,96,67,209,2021
2019_A10408,100,83,87,270,2019
2021_C10409,29,41,79,149,2021
2021_C10410,20,65,31,116,2021
2019_B10411,68,67,92,227,2019
2022_A10412,89,20,38,147,2022
2019_B10413,94,12,24,130,2019
2021_B10414,46,69,47,162,2021
2019_A10415,32,42,72,146,2019
2019_B10416,7,58,59,124,2019
2022_A10417,34,48,55,137,2022
2021_C10418,13,95,60,168,2021
2019_C10419,56,49,59,164,2019
2022_C10420,69,34,92,195,2022
2019_C10421,84,82,74,240,2019
2022_C10422,50,14,23,87,2022
2021_C10423,70,95,37,202,2021
2019_B10424,83,54,60,197,2019
2019_B10425,58,52,75,185,2019
2021_B10426,5,55,68,128,2021
2019_C10427,20,73,98,191,2019
2022_C10428,24,81,64,169,2022
2019_B10429,95,56,44,195,2019
2021_B10430,16,93,52,161,2021
2021_B10431,100,96,93,289,2021
2021_A10432,35,91,99,225,2021
2021_B10433,89,30,61,180,2021
2022_C10434,80,29,54,163,2022
2019_C10435,57,79,89,225,2019
2021_B10436,44,35,43,122,2021
2022_A10437,55,25,26,106,2022
2021_B10438,92,61,92,245,2021
2019_C10439,100,73,30,203,2019
2021_C10440,48,79,46,173,2021
2022_A10441,47,88,31,166,2022
2021_C10442,92,88,74,254,2021
2019_C10443,39,85,83,207,2019
2021_A10444,26,76,34,136,2021
2019_C10445,33,82,49,164,2019
2019_A10446,48,75,27,150,2019
2019_B10447,44,64,44,152,2019
2022_C10448,49,73,68,190,2022
2021_A10449,5,56,83,144,2021
2022_C10450,3,61,70,134,2022
2021_A10451,67,71,58,196,2021
2022_C10452,65,31,54,150,2022
2022_B10453,71,87,48,206,2022
2021_B10454,86,80,80,246,2021
2021_C10455,69,32,76,177,2021
2021_A10456,92,42,31,165,2021
2021_B10457,5,48,27,80,2021
2022_B10458,26,72,58,156,2022
2019_A10459,4,68,48,120,2019
2019_A10460,11,55,46,112,2019
2019_B10461,14,83,62,159,2019
2022_C10462,61,68,97,226,2022
2021_B10463,100,17,63,180,2021
2019_A10464,74,19,56,149,2019
2019_C10465,9,88,80,177,2019
2022_A10466,0,23,77,100,2022
2021_A10467,1,64,78,143,2021
2021_B10468,93,97,24,214,2021
2019_A10469,40,59,42,141,2019
2019_B10470,99,54,51,204,2019
2021_B10471,62,51,47,160,2021
2022_C10472,5,14,36,55,2022
2022_C10473,65,54,48,167,2022
2019_C10474,72,40,98,210,2019
2019_C10475,96,66,85,247,2019
2021_A10476,74,29,38,141,2021
2022_A10477,75,13,87,175,2022
2019_B10478,15,26,73,114,2019
2022_A10479,28,54,76,158,2022
2021_B10480,31,14,27,72,2021
2022_B10481,87,46,78,211,2022
2022_B10482,75,70,29,174,2022
2019_B10483,60,56,91,207,2019
2022_B10484,0,49,87,136,2022
2019_A10485,47,12,48,107,2019
2019_B10486,48,78,79,205,2019
2019_B10487,40,32,30,102,2019
2019_B10488,85,53,56,194,2019
2022_B10489,48,85,99,232,2022
2022_C10490,23,21,24,68,2022
2019_A10491,55,94,79,228,2019
2021_C10492,82,39,49,170,2021
2021_B10493,20,56,57,133,2021
2021_C10494,52,46,47,145,2021
2022_C10495,52,79,38,169,2022
2022_A10496,33,42,66,141,2022
2022_A10497,24,73,40,137,2022
2021_A10498,79,76,32,187,2021
2019_A10499,22,80,72,174,2019
2021_C10500,80,66,26,172,2021
2022_C10501,50,75,21,146,2022
2022_C10502,25,41,49,115,2022
2022_A10503,78,57,30,165,2022
2021_A10504,58,21,36,115,2021
2021_B10505,89,58,92,239,2021
2021_C10506,39,40,64,143,2021
2019_C10507,15,90,40,145,2019
2022_A10508,1,30,82,113,2022
2019_A10509,11,52,28,91,2019
2022_A10510,33,23,60,116,2022
2021_A10511,11,84,54,149,2021
2019_C10512,67,60,99,226,2019
2019_C10513,64,14,74,152,2019
2019_C10514,77,84,86,247,2019
2019_C10515,23,20,49,92,2019
2019_B10516,61,69,31,161,2019
2022_B10517,16,50,87,153,2022
2019_A10518,93,53,39,185,2019
2021_A10519,65,24,34,123,2021
2021_C10520,84,24,73,181,2021
2021_A10521,56,88,37,181,2021
2021_A10522,2,70,75,147,2021
2021_C10523,6,21,57,84,2021
2021_B10524,30,59,70,159,2021
2021_B10525,32,68,84,184,2021
2022_C10526,91,92,95,278,2022
2019_A10527,40,42,28,110,2019
2019_A10528,83,76,36,195,2019
2022_C10529,40,32,99,171,2022
2021_B10530,37,28,64,129,2021
2022_A10531,59,81,55,195,2022
2022_A10532,72,22,45,139,2022
2022_B10533,0,23,45,68,2022
2019_B10534,3,58,61,122,2019
2022_A10535,88,90,58,236,2022
2021_C10536,87,16,41,144,2021
2019_B10537,30,30,79,139,2019
2021_A10538,42,91,57,190,2021
2019_A10539,53,84,58,195,2019
2021_C10540,17,38,75,130,2021
2022_B10541,74,19,58,151,2022
2021_A10542,62,21,47,130,2021
2021_A10543,55,26,45,126,2021
2022_B10544,92,90,96,278,2022
2019_B10545,63,62,56,181,2019
2022_A10546,71,93,90,254,2022
2019_B10547,66,75,26,167,2019
2019_B10548,82,40,24,146,2019
2022_B10549,39,68,23,130,2022
2019_C10550,41,88,64,193,2019
2019_B10551,51,60,85,196,2019
2021_A10552,41,69,49,159,2021
2021_C10553,73,39,77,189,2021
2021_A10554,39,54,81,174,2021
2019_C10555,50,87,53,190,2019
2019_B10556,13,60,39,112,2019
2019_A10557,22,94,32,148,2019
2022_C10558,6,81,77,164,2022
2022_B10559,50,26,77,153,2022
2021_C10560,42,74,93,209,2021
2022_A10561,53,43,71,167,2022
2022_A10562,97,26,64,187,2022
2022_B10563,85,45,81,211,2022
2021_B10564,48,87,73,208,2021
2021_B10565,11,58,35,104,2021
2021_C10566,96,31,68,195,2021
2022_C10567,87,24,47,158,2022
2019_C10568,20,44,81,145,2019
2022_C10569,14,13,89,116,2022
2019_A10570,90,51,62,203,2019
2021_A10571,13,93,85,191,2021
2019_B10572,67,35,37,139,2019
2021_B10573,30,96,86,212,2021
2022_C10574,30,94,58,182,2022
2019_A10575,95,37,25,157,2019
2019_A10576,99,38,26,163,2019
2022_C10577,45,46,57,148,2022
2022_A10578,82,39,45,166,2022
2022_A10579,59,42,90,191,2022
2021_C10580,5,77,81,163,2021
2019_C10581,54,47,37,138,2019
2022_C10582,11,40,86,137,2022
2022_A10583,13,46,69,128,2022
2022_B10584,77,52,60,189,2022
2019_A10585,67,17,77,161,2019
2022_B10586,54,34,90,178,2022
2022_A10587,56,12,59,127,2022
2019_C10588,51,35,78,164,2019
2021_C10589,11,44,99,154,2021
2019_A10590,32,58,96,186,2019
2019_B10591,59,48,85,192,2019
2022_C10592,94,11,98,203,2022
2019_B10593,13,56,37,106,2019
2021_C10594,97,21,57,175,2021
2019_B10595,37,17,50,104,2019
2019_B10596,30,20,59,109,2019
2019_B10597,94,77,63,234,2019
2021_A10598,10,22,34,66,2021
2019_B10599,68,86,81,235,2019
2022_C10600,36,32,89,157,2022
2019_A10601,45,36,63,144,2019
2021_B10602,0,23,39,62,2021
2021_B10603,30,76,30,136,2021
2019_A10604,25,37,22,84,2019
2021_C10605,50,74,30,154,2021
2022_A10606,92,27,31,150,2022
2019_A10607,67,17,99,183,2019
2022_C10608,22,87,46,155,2022
2019_A10609,48,42,43,133,2019
2021_C10610,48,18,29,95,2021
2019_C10611,46,68,64,178,2019
2022_A10612,60,36,23,119,2022
2019_B10613,17,38,43,98,2019
2019_C10614,29,94,23,146,2019
2021_A10615,0,86,40,126,2021
2021_B10616,69,57,59,185,2021
2021_C10617,88,56,46,190,2021
2019_B10618,44,22,26,92,2019
2021_C10619,21,67,71,159,2021
2022_A10620,49,61,96,206,2022
2019_A10621,33,27,93,153,2019
2019_A10622,46,55,28,129,2019
2022_C10623,26,22,54,102,2022
2021_C10624,19,94,51,164,2021
2021_C10625,44,60,26,130,2021
2019_C10626,7,68,93,168,2019
2021_A10627,58,68,54,180,2021
2022_B10628,61,39,24,124,2022
2019_C10629,36,17,59,112,2019
2021_C10630,89,90,78,257,2021
2019_B10631,42,16,27,85,2019
2021_C10632,35,22,38,95,2021
2021_A10633,45,87,39,171,2021
2021_B10634,92,66,78,236,2021
2022_B10635,54,70,43,167,2022
2022_C10636,4,77,91,172,2022
2019_A10637,45,21,58,124,2019
2019_A10638,41,95,89,225,2019
2022_C10639,24,83,95,202,2022
2021_B10640,59,83,75,217,2021
2022_C10641,7,78,62,147,2022
2021_B10642,71,19,93,183,2021
2022_B10643,48,68,25,141,2022
2022_C10644,8,22,31,61,2022
2021_C10645,39,15,35,89,2021
2021_B10646,0,31,34,65,2021
2022_B10647,62,29,28,119,2022
2019_C10648,3,65,46,114,2019
2021_A10649,35,57,40,132,2021
2021_C10650,78,87,40,205,2021
2019_B10651,61,29,21,111,2019
2021_C10652,77,53,47,177,2021
2021_C10653,90,85,73,248,2021
2019_C10654,34,94,29,157,2019
2021_C10655,81,85,39,205,2021
2021_A10656,12,30,86,128,2021
2019_C10657,5,97,61,163,2019
2021_B10658,51,87,21,159,2021
2021_A10659,57,31,81,169,2021
2021_A10660,37,79,52,168,2021
2021_A10661,52,57,38,147,2021
2021_A10662,96,76,88,260,2021
2019_A10663,23,45,38,106,2019
2021_A10664,14,14,95,123,2021
2021_C10665,50,47,80,177,2021
2019_C10666,82,28,51,161,2019
2019_A10667,76,33,73,182,2019
2022_C10668,76,64,89,229,2022
2021_C10669,68,15,62,145,2021
2019_A10670,95,24,85,204,2019
2019_C10671,15,29,32,76,2019
2022_C10672,68,90,21,179,2022
2019_C10673,9,46,99,154,2019
2019_B10674,60,76,66,202,2019
2019_B10675,98,62,78,238,2019
2022_A10676,89,60,72,221,2022
2022_B10677,87,81,24,192,2022
2021_A10678,76,37,70,183,2021
2021_C10679,90,72,31,193,2021
2021_B10680,8,14,31,53,2021
2019_A10681,60,53,21,134,2019
2022_A10682,9,24,46,79,2022
2021_A10683,40,85,81,206,2021
2019_C10684,99,86,38,223,2019
2022_A10685,87,96,85,268,2022
2021_A10686,46,23,23,92,2021
2021_A10687,52,64,99,215,2021
2019_B10688,100,53,30,183,2019
2021_C10689,64,37,86,187,2021
2022_A10690,41,48,81,170,2022
2019_A10691,43,34,59,136,2019
2022_B10692,21,80,94,195,2022
2021_A10693,71,59,97,227,2021
2021_A10694,62,85,77,224,2021
2019_B10695,45,34,96,175,2019
2021_C10696,23,44,27,94,2021
2019_A10697,4,96,34,134,2019
2021_C10698,75,93,71,239,2021
2021_A10699,2,73,83,158,2021
2022_B10700,44,89,22,155,2022
2022_A10701,32,43,27,102,2022
2019_C10702,20,64,67,151,2019
2021_B10703,2,81,81,164,2021
2019_B10704,97,66,91,254,2019
2021_A10705,91,70,95,256,2021
2022_B10706,28,49,38,115,2022
2022_B10707,55,14,37,106,2022
2022_A10708,63,12,84,159,2022
2021_B10709,86,84,24,194,2021
2019_B10710,48,24,38,110,2019
2022_A10711,20,21,44,85,2022
2019_B10712,72,83,83,238,2019
2022_A10713,23,93,90,206,2022
2022_B10714,41,73,50,164,2022
2019_C10715,10,12,60,82,2019
2019_A10716,97,50,62,209,2019
2022_C10717,65,85,60,210,2022
2022_B10718,75,13,28,116,2022
2021_A10719,63,51,61,175,2021
2022_A10720,95,96,88,279,2022
2019_B10721,81,91,75,247,2019
2021_B10722,25,72,63,160,2021
2019_A10723,6,96,37,139,2019
2021_B10724,26,60,53,139,2021
2022_A10725,72,80,78,230,2022
2019_C10726,95,22,35,152,2019
2022_B10727,68,77,21,166,2022
2022_A10728,2,19,59,80,2022
2022_B10729,13,46,28,87,2022
2019_B10730,89,65,26,180,2019
2022_C10731,25,97,58,180,2022
2022_B10732,98,92,98,288,2022
2021_C10733,5,96,66,167,2021
2019_C10734,18,75,44,137,2019
2021_A10735,73,89,65,227,2021
2021_A10736,78,67,77,222,2021
2022_A10737,80,45,23,148,2022
2022_C10738,11,87,54,152,2022
2022_C10739,11,24,67,102,2022
2019_A10740,2,59,43,104,2019
2021_A10741,55,63,94,212,2021
2019_C10742,80,73,96,249,2019
2021_A10743,14,72,39,125,2021
2022_C10744,24,85,96,205,2022
2022_B10745,55,55,99,209,2022
2021_A10746,75,43,51,169,2021
2019_B10747,53,77,81,211,2019
2019_B10748,28,36,77,141,2019
2019_A10749,78,96,73,247,2019
2019_C10750,65,90,95,250,2019
2021_C10751,93,40,51,184,2021
2021_B10752,34,64,90,188,2021
2019_B10753,29,17,76,122,2019
2022_C10754,21,31,71,123,2022
2021_A10755,11,42,90,143,2021
2019_A10756,12,25,30,67,2019
2019_C10757,4,30,85,119,2019
2019_C10758,94,77,92,263,2019
2021_C10759,24,80,89,193,2021
2021_B10760,87,34,22,143,2021
2019_C10761,100,94,55,249,2019
2021_C10762,10,21,65,96,2021
2022_C10763,54,91,92,237,2022
2021_B10764,32,77,84,193,2021
2022_A10765,78,79,88,245,2022
2019_A10766,79,14,98,191,2019
2019_A10767,29,54,58,141,2019
2021_B10768,32,87,34,153,2021
2019_C10769,27,20,50,97,2019
2019_C10770,73,59,41,173,2019
2022_A10771,5,56,47,108,2022
2019_A10772,36,96,97,229,2019
2022_C10773,17,18,38,73,2022
2022_A10774,88,45,50,183,2022
2022_A10775,99,23,30,152,2022
